student_id,exam_date,subject,marks
1,2020-02,Physics,50
2,2020-10,Accounts,92
3,2022-07,Computers,85
4,2022-11,Chemistry,69
5,2020-02,Maths,83
6,2021-03,Chemistry,40
7,2020-04,Physics,81
8,2022-06,English,89
9,2021-11,English,76
10,2020-09,Computers,73
11,2020-10,Accounts,58
12,2022-02,English,66
13,2022-08,English,89
14,2020-07,Physics,69
15,2022-11,Maths,89
16,2022-02,Maths,76
17,2021-08,Accounts,41
18,2021-04,Computers,89
19,2020-11,Maths,90
20,2022-07,Computers,96
21,2022-08,Accounts,55
22,2020-05,Accounts,44
23,2022-11,Maths,61
24,2020-12,Accounts,59
25,2021-12,Physics,82
26,2021-04,Maths,48
27,2020-11,Accounts,56
28,2020-01,Physics,70
29,2022-07,Chemistry,91
30,2020-12,Computers,49
31,2020-03,Physics,59
32,2020-07,Maths,43
33,2020-09,Maths,99
34,2022-05,Accounts,52
35,2020-06,Maths,62
36,2020-06,English,66
37,2020-01,Accounts,46
38,2021-03,Computers,41
39,2022-02,Accounts,89
40,2022-03,Physics,75
41,2021-10,Physics,81
42,2020-11,Accounts,63
43,2022-03,Accounts,67
44,2020-05,Chemistry,98
45,2021-10,Physics,77
46,2021-01,Chemistry,62
47,2020-02,Accounts,77
48,2022-02,English,92
49,2021-11,Chemistry,48
50,2021-12,English,61
51,2021-01,Physics,41
52,2022-08,English,91
53,2021-10,Computers,86
54,2020-01,Accounts,44
55,2020-03,Accounts,92
56,2020-05,Accounts,49
57,2021-07,Physics,51
58,2022-04,English,53
59,2020-05,Computers,89
60,2020-07,Physics,67
61,2022-02,Computers,88
62,2021-09,Accounts,49
63,2020-09,Chemistry,71
64,2021-02,Accounts,64
65,2020-03,Physics,46
66,2020-04,Maths,90
67,2021-08,Maths,64
68,2021-05,Chemistry,83
69,2021-12,Accounts,62
70,2022-02,Computers,76
71,2022-10,English,70
72,2021-11,Computers,43
73,2022-09,Physics,86
74,2022-11,Chemistry,69
75,2021-01,Maths,57
76,2020-12,English,58
77,2021-09,Chemistry,76
78,2020-10,Maths,50
79,2020-03,English,59
80,2020-02,Physics,55
81,2021-11,English,67
82,2022-04,Maths,53
83,2020-05,Computers,99
84,2022-04,Computers,59
85,2021-05,Chemistry,94
86,2021-06,Chemistry,87
87,2021-08,Computers,60
88,2020-06,Physics,89
89,2022-05,English,63
90,2021-08,Physics,48
91,2021-01,Physics,83
92,2022-08,Accounts,91
93,2021-09,Accounts,67
94,2020-10,Chemistry,97
95,2022-02,Chemistry,93
96,2022-03,Computers,50
97,2022-12,Maths,81
98,2021-01,English,92
99,2020-11,English,43
100,2022-09,English,82
101,2022-07,Accounts,67
102,2022-05,Computers,95
103,2021-01,Accounts,95
104,2020-09,Chemistry,45
105,2022-10,Chemistry,43
106,2022-09,Physics,55
107,2021-02,English,51
108,2021-09,Chemistry,85
109,2020-05,Accounts,46
110,2021-05,Chemistry,42
111,2021-01,Physics,78
112,2022-08,English,74
113,2022-08,English,84
114,2020-02,Maths,67
115,2022-03,Computers,92
116,2021-09,Accounts,62
117,2021-08,English,76
118,2020-05,Accounts,99
119,2022-04,Maths,87
120,2020-01,Chemistry,91
121,2022-10,Maths,98
122,2022-03,English,51
123,2020-09,Physics,73
124,2020-08,Physics,84
125,2020-09,Physics,71
126,2020-08,English,50
127,2020-02,English,62
128,2021-08,Computers,44
